"prov","nom_provin","dpto","nom_dpto","codaglo","codloc","nom_loc","codent","nom_ent","frac","radio","mza","lado","nro_inicia","nro_final","orden_reco","nrolist","ccalle","ncalle","nrocatastr","piso","casa","dptohab","sector","edificio","entrada","tipoviv","descrip","descripl","cpostal","ordrecmza","fechrele","tiptarea"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0001",1,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",1,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0001",2,0,0,"    ","    ",145,"AVELLANEDA                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",1,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0001",3,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",1,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0001",4,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",1,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0002",1,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",2,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0002",2,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",2,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0002",3,0,0,"    ","    ",345,"JOSE A REIMONDEGUI                                                    ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",2,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0002",4,0,0,"    ","    ",145,"AVELLANEDA                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",2,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0003",1,0,0,"    ","    ",345,"JOSE A REIMONDEGUI                                                    ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",3,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0003",2,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",3,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0003",3,0,0,"    ","    ",325,"HORACIO GUZMAN                                                        ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",3,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0003",4,0,0,"    ","    ",145,"AVELLANEDA                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",3,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0004",1,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",4,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0004",2,0,0,"    ","    ",470,"RUTA NAC 9                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",4,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0004",3,0,0,"    ","    ",325,"HORACIO GUZMAN                                                        ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",4,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0004",4,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",4,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0005",1,0,0,"    ","    ",325,"HORACIO GUZMAN                                                        ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",5,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0005",2,0,0,"    ","    ",470,"RUTA NAC 9                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",5,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0005",3,0,0,"    ","    ",575,"VIRGEN DEL CARMEN                                                     ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",5,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0005",4,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",5,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0006",1,0,0,"    ","    ",575,"VIRGEN DEL CARMEN                                                     ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",6,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0006",2,0,0,"    ","    ",100,"AV JUAN DOMINGO PERON                                                 ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",6,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0006",3,0,101,"    ","    ",540,"SUIPACHA                                                              ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",6,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0006",4,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",6,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0007",1,0,0,"    ","    ",325,"HORACIO GUZMAN                                                        ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",7,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0007",2,0,0,"    ","    ",515,"SARMIENTO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",7,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0007",3,101,0,"    ","    ",540,"SUIPACHA                                                              ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",7,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0007",4,0,0,"    ","    ",155,"CALLE S N                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",7,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0008",1,0,0,"    ","    ",325,"HORACIO GUZMAN                                                        ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",8,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0008",2,0,0,"    ","    ",155,"CALLE S N                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",8,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0008",3,0,201,"    ","    ",540,"SUIPACHA                                                              ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",8,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0008",4,0,0,"    ","    ",145,"AVELLANEDA                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",8,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0009",1,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",9,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0009",2,0,0,"    ","    ",145,"AVELLANEDA                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",9,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0009",3,201,301,"    ","    ",540,"SUIPACHA                                                              ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",9,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0009",4,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",9,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0010",1,0,0,"    ","    ",99938,"CAMINO                                                                ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",10,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0010",2,600,700,"    ","    ",80,"AV DOMINGO ZERPA                                                      ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",10,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0010",3,0,0,"    ","    ",525,"SDOR BUSTAMANTE                                                       ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",10,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0010",4,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",10,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0011",1,0,0,"    ","    ",525,"SDOR BUSTAMANTE                                                       ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",11,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0011",2,600,700,"    ","    ",80,"AV DOMINGO ZERPA                                                      ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",11,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0011",3,0,0,"    ","    ",305,"GDOR TELLO                                                            ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",11,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0011",4,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",11,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0012",1,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",12,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0012",2,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",12,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0012",3,0,0,"    ","    ",99952,"LOTE                                                                  ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",12,"","LISTADO-CONTEO           ,,,,,,,,,,"
38,"Jujuy                              ",7,"Cochinoca                               ",393,20,"Abra Pampa                                                            ","  ","                                                                      ",1,1,"0012",4,0,0,"    ","    ",99950,"ALAMBRADO                                                             ","     ","  ","    ","    ","          ","          ","          ","   ","                                                                                                                        ","                                                                                                                        ","                    ",12,"","LISTADO-CONTEO           ,,,,,,,,,,"
